Manufacturer	Power-kW	Torque-kNm	Weight-kg
Bosch-Rexroth	750	229	4300
Bosch-Rexroth	660	243	3900
Bosch-Rexroth	850	350	4500
Bosch-Rexroth	660	243	4500
Bosch-Rexroth	2000	1260	15300
Bosch-Rexroth	2000	1160	15400
Bosch-Rexroth	2000	1135	17000
Bosch-Rexroth	1800	1104	16350
Bosch-Rexroth	1500	870	13900
Bosch-Rexroth	1500	870	14500
Bosch-Rexroth	1500	950	15000
Bosch-Rexroth	2500	1621	19500
Bosch-Rexroth	2200	1578	22000
Bosch-Rexroth	2000	1210	20700
Bosch-Rexroth	2000	1380	20700
Bosch-Rexroth	2500	1700	19000
Bosch-Rexroth	2500	1904	21600
Bosch-Rexroth	2500	1869	24700
Winergy	6500	5500	62000
Winergy	3000	2000	25000
Winergy	3000	2500	31000
Eickhoff	1500	934	14000
Eickhoff	2000	1378	23800
Eickhoff	2500	1900	20300
Eickhoff	3300	2525	30000
Eickhoff	3600	2509	28000
GE	1600	835	15000
GE	2050	1115	17000
GE	2350	1650	17700
GE	2600	1710	21100
